0.01000,20.58800
0.02000,41.17600
0.03000,61.76400
0.04000,82.35200
0.04700,96.76400
0.05700,101.91900
0.06700,107.07500
0.07700,112.23000
0.08700,117.38600
0.09700,122.54100
0.10700,127.69600
0.11700,132.85200
0.12700,138.00700
0.13700,143.16300
0.14300,146.25600
0.15200,146.67300
0.16200,147.13500
0.17200,147.59800
0.18200,148.06100
0.19200,148.52400
0.20200,148.98700
0.21200,149.44900
0.22200,149.91200
0.23200,150.37500
0.23900,150.69900
0.24900,150.88800
0.25900,151.07700
0.26900,151.26600
0.27900,151.45600
0.28900,151.64500
0.29900,151.83400
0.31400,152.11800
0.33400,152.49600
0.36400,152.10600
0.40900,151.52100
0.43000,151.24800
0.46200,150.79700
0.50900,150.12200
0.52600,149.87500
0.55200,149.96300
0.59100,150.09400
0.62200,150.20000
0.66900,149.69900
0.71800,149.17600
0.76800,146.92700
0.80900,145.09200
0.81400,144.85800
0.82200,144.74900
0.83400,144.58700
0.85100,144.34200
0.87700,143.97600
0.90900,143.53600
0.95300,142.55300
1.00500,141.41400
1.05500,138.13800
1.08700,136.03200
1.10100,135.12500
1.12200,133.01900
1.14400,130.72000
1.16800,128.28700
1.19800,125.28800
1.24200,120.14100
1.29200,114.34100
1.29500,114.03500
1.29900,113.52100
1.30500,112.75100
1.31400,111.59500
1.32700,109.86100
1.34700,107.26000
1.36800,104.59700
1.39100,101.55600
1.41700,98.40400
1.45700,93.67600
1.48600,90.17500
1.51900,86.17600
1.54200,83.51100
1.56200,81.03600
1.58200,78.69400
1.60800,75.36300
1.64700,70.36700
1.67800,66.36400
1.72200,60.86200
1.74700,57.65200
1.77100,54.66400
1.77400,54.26000
1.77900,53.89000
1.78600,53.33600
1.79700,52.50400
1.81300,51.25600
1.83700,49.38400
1.87000,46.87200
1.90700,43.49500
1.93400,41.09200
1.96200,38.57200
1.96600,38.18600
1.97200,37.14600
1.98200,35.58500
1.99600,33.24400
2.01800,29.73200
2.05000,24.46500
2.06100,22.73700
2.07700,21.20000
2.10100,18.89300
2.13400,15.66900
2.15700,13.47800
2.19100,11.38700
2.24100,8.31900
2.25300,7.58700
2.27100,7.15600
2.29800,6.51000
2.33300,5.66000
2.35000,5.25200
2.37500,3.87600
2.41400,1.81200
