0.01000,82.82300
0.02000,165.64600
0.02500,207.05800
0.03300,211.51200
0.04300,217.45100
0.05300,223.39000
0.06300,229.32900
0.07300,235.26800
0.07700,237.94100
0.08400,238.23000
0.09400,238.65900
0.10400,239.08800
0.11400,239.51700
0.12300,239.93400
0.12900,240.17100
0.13700,240.44700
0.14500,240.70700
0.15200,240.95100
0.15900,241.18100
0.17000,241.52600
0.18100,241.90600
0.19800,243.36200
0.22400,245.54600
0.23400,246.42500
0.24900,246.29300
0.27300,246.09400
0.28700,245.97100
0.30900,246.47400
0.34000,247.21000
0.38700,246.58000
0.39200,246.51600
0.39900,246.40700
0.41000,246.24400
0.42400,246.02400
0.43800,245.81100
0.44500,245.71000
0.45500,245.55300
0.47000,245.31900
0.48900,245.02400
0.49800,244.88100
0.51200,244.38300
0.53200,243.63700
0.55000,242.99700
0.56600,242.21700
0.57900,241.60100
0.59100,241.02300
0.60200,240.51800
0.61600,239.11900
0.63500,237.22300
0.65500,235.27100
0.68500,232.03100
0.69600,230.73900
0.70800,229.46400
0.72000,227.97000
0.73500,226.10400
0.75700,223.30500
0.76000,222.87100
0.76500,222.23300
0.77300,221.27500
0.78400,219.83800
0.79600,218.37000
0.80800,216.95200
0.81300,216.27800
0.82100,214.84800
0.83300,212.70400
0.85200,209.48700
0.86600,206.95900
0.88100,203.67600
0.89600,200.34800
0.91900,195.45800
0.95300,188.17600
0.97100,184.25500
0.99600,179.56800
1.02300,174.49000
1.05000,172.25000
1.07600,170.06700
1.11500,117.88400
1.12900,99.58800
1.15000,70.09600
1.18100,25.28100
1.22300,15.29300
1.23300,12.83900
1.24800,11.36700
1.27100,9.15900
1.28600,7.76900
1.30800,4.63300
